id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,neighborhood
4444054963,2,1.25,809,1019,3.0,0,1,5,6,583,226,2008,0,98178,47.48842474652382,-122.23404795524068,708,941,Cedar Grove
4598034127,3,1.0,1112,1423,1.0,0,1,4,5,1112,0,2005,0,98178,47.48395250635483,-122.23244608884495,988,1408,Cedar Grove
7859140556,2,1.5,855,1073,2.5,0,0,4,5,585,270,2009,0,98178,47.48562375083479,-122.22973966582217,766,1027,Cedar Grove
3300561549,3,1.25,1169,1505,1.0,0,0,4,5,1169,0,1974,1984,98178,47.49890591943604,-122.23209351227288,1048,1426,Cedar Grove
9199772709,2,1.25,929,1041,3.0,0,0,3,6,563,366,1991,0,98178,47.48976391709486,-122.23046978635251,855,957,Cedar Grove
5354340855,2,1.0,893,1021,1.5,0,1,5,6,597,296,1992,2008,98178,47.49514552745558,-122.22870801370755,845,947,Cedar Grove
9909591583,2,1.25,1145,1285,2.0,0,0,3,5,773,372,2013,0,98178,47.48676187255685,-122.24127763794695,1036,1191,Cedar Grove
4020326159,2,1.25,955,1108,2.0,0,0,4,6,741,214,2015,0,98178,47.49820020324529,-122.23037619534587,889,1008,Cedar Grove
3674563085,3,1.25,851,1029,2.5,0,0,3,5,659,192,2011,0,98178,47.49982891769601,-122.23680745264025,749,1018,Cedar Grove
5460843880,2,1.5,1162,1307,2.0,0,1,4,6,927,235,1977,2001,98178,47.48663946018814,-122.23029773461143,1100,1269,Cedar Grove
9368830116,3,1.0,965,1230,1.5,0,0,3,6,614,351,2007,0,98178,47.48243493445222,-122.23180320881684,851,1229,Cedar Grove
7612463090,3,1.0,1135,1496,1.5,0,0,3,5,688,447,1974,0,98178,47.487394904494195,-122.2428473467166,1016,1377,Cedar Grove
5031646296,2,1.25,1019,1330,2.0,0,1,4,6,661,358,2010,0,98178,47.49747752970216,-122.24175122592895,870,1273,Cedar Grove
3184558542,3,1.0,1020,1194,2.5,0,1,4,6,742,278,1974,0,98178,47.49184953499487,-122.24104682334423,942,1191,Cedar Grove
9945687067,3,1.25,1180,1384,1.5,0,1,5,6,723,457,2002,0,98178,47.4963009945993,-122.22737192289216,1064,1341,Cedar Grove
6645815996,3,1.25,1015,1186,3.0,0,0,4,5,651,364,1977,0,98178,47.486072009735494,-122.2312404974914,876,1111,Cedar Grove
3368576745,3,1.25,925,1042,3.0,0,1,5,5,559,366,2011,0,98178,47.499752587630915,-122.23301550752069,828,955,Cedar Grove
9282012431,2,1.5,1102,1270,1.5,0,1,5,5,708,394,2014,0,98178,47.488550727479584,-122.2423009555671,998,1194,Cedar Grove
8563225387,2,1.5,832,1057,1.5,0,0,5,6,532,300,1970,0,98178,47.493676429691945,-122.22730542043212,717,973,Cedar Grove
2026477426,3,1.5,1153,1423,1.0,0,0,5,5,1153,0,1970,1980,98178,47.49928314136595,-122.22610753629297,1007,1393,Cedar Grove
8896870378,3,1.5,813,927,1.0,0,0,3,6,813,0,1971,0,98178,47.49830582252089,-122.24397174438967,763,861,Cedar Grove
5964130630,3,1.25,1023,1178,3.0,0,1,5,6,680,343,1980,0,98178,47.50165349438605,-122.2263955082801,917,1170,Cedar Grove
9072990402,3,1.25,1119,1226,1.0,0,1,4,5,1119,0,1971,2020,98178,47.49605966611348,-122.2366796328172,960,1116,Cedar Grove
3082172846,3,1.25,958,1145,1.0,0,1,3,5,958,0,2009,0,98178,47.4827828818586,-122.24378714654488,851,1066,Cedar Grove
2442172777,2,1.25,1058,1162,1.5,0,0,5,5,686,372,2011,0,98178,47.49687669947963,-122.23541171281835,975,1089,Cedar Grove
4297563153,2,1.0,1126,1252,2.5,0,1,5,5,746,380,1989,0,98178,47.49956702344172,-122.24455061512145,996,1192,Cedar Grove
1424946748,2,1.0,910,1100,2.5,0,0,5,5,556,354,2000,0,98178,47.48803098959638,-122.22930110586704,799,1007,Cedar Grove
3603351313,3,1.25,868,992,2.0,0,0,3,6,534,334,1994,0,98178,47.49934993056987,-122.2329335122731,769,949,Cedar Grove
2113943051,2,1.0,1084,1177,1.5,0,0,3,6,708,376,1997,0,98178,47.48556221510971,-122.23872795784821,985,1151,Cedar Grove
3827120807,3,1.0,911,1187,3.0,0,0,4,6,705,206,1995,2012,98178,47.49111943816181,-122.23421080106901,834,1175,Cedar Grove
9361865121,2,1.0,1045,1160,2.5,0,0,3,6,822,223,1978,2016,98178,47.498609390271824,-122.22885358580999,931,1140,Cedar Grove
2901270600,2,1.25,1100,1201,1.0,0,0,5,5,1100,0,2002,0,98178,47.50193714148253,-122.22805268092787,988,1177,Cedar Grove
6047217377,2,1.25,1021,1258,2.0,0,1,4,5,751,270,1971,2008,98178,47.48300262974451,-122.24228551592464,902,1138,Cedar Grove
9113208681,2,1.25,1006,1303,1.0,0,0,3,5,1006,0,1977,2001,98178,47.500283776436255,-122.24028492088898,887,1205,Cedar Grove
3619398653,2,1.5,1183,1544,2.5,0,1,4,5,868,315,2001,0,98178,47.50128390658738,-122.23265784551653,1071,1496,Cedar Grove
8241086281,3,1.25,943,1063,2.0,0,0,3,5,629,314,1992,0,98178,47.49926980012786,-122.24486395444494,838,960,Cedar Grove
1382877011,2,1.0,1040,1172,2.5,0,0,4,5,806,234,1989,0,98178,47.48661532785526,-122.2406055988227,916,1156,Cedar Grove
2335690727,2,1.25,1114,1254,2.0,0,1,3,6,880,234,2008,0,98178,47.4923421081581,-122.22982982432653,1026,1224,Cedar Grove
5564719727,2,1.5,978,1223,2.5,0,1,3,6,762,216,2009,0,98178,47.48445491338908,-122.23324945001674,871,1168,Cedar Grove
3628572103,3,1.5,1040,1155,1.5,0,0,5,5,694,346,2015,0,98178,47.483837027870884,-122.2328910188069,944,1125,Cedar Grove
5101333025,2,1.25,1035,1149,3.0,0,1,4,6,796,239,1997,0,98178,47.49772365891375,-122.24342429102292,957,1054,Cedar Grove
4600922125,2,1.5,870,1085,2.0,0,0,4,5,683,187,2010,0,98178,47.49343111017394,-122.24445811650048,810,1058,Cedar Grove
8553747562,2,1.5,803,937,2.0,0,1,5,6,514,289,1982,0,98178,47.49136868686493,-122.23288549050481,744,883,Cedar Grove
5169030662,3,1.5,1186,1291,3.0,0,1,5,5,755,431,1998,0,98178,47.48786586431191,-122.22901647279805,1116,1170,Cedar Grove
