id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,neighborhood
2606708468,4,2.5,2000,5487,1.0,0,3,3,7,2000,0,1971,0,98074,47.60899649020896,-122.02783345346347,1722,5310,Parkside Meadows
8861953488,4,2.5,2254,5089,2.0,0,3,5,9,1744,510,1977,0,98074,47.61578039366057,-122.02591213224117,2118,4701,Parkside Meadows
7766530109,4,2.25,2366,6460,1.0,0,0,5,9,2366,0,2005,0,98074,47.621113179790704,-122.03031295812478,2025,6302,Parkside Meadows
9875619202,3,2.0,2294,5513,1.5,0,0,4,7,1747,547,2002,0,98074,47.615660117415516,-122.0372952848892,2073,5300,Parkside Meadows
7463394566,4,2.25,1967,4800,1.5,0,0,3,9,1430,537,1980,2002,98074,47.61973423112208,-122.02861189788025,1701,4628,Parkside Meadows
5653731806,4,2.25,2141,5306,3.0,0,0,5,9,1409,732,1992,0,98074,47.620162462799485,-122.03729211738275,1951,5194,Parkside Meadows
8828396934,4,2.0,1966,5137,2.5,0,1,3,7,1387,579,2007,0,98074,47.605963951435946,-122.04288035300458,1820,4722,Parkside Meadows
9989178318,4,2.5,1958,4812,1.0,0,2,5,9,1958,0,1978,2013,98074,47.61429572941372,-122.0350191059038,1776,4665,Parkside Meadows
7769330319,4,2.0,2030,4976,2.5,0,1,3,8,1256,774,1983,0,98074,47.61150218483388,-122.04150238067602,1906,4700,Parkside Meadows
7560849819,3,2.5,1926,4959,2.0,0,3,3,7,1474,452,1998,0,98074,47.61949889997669,-122.03664512053608,1700,4593,Parkside Meadows
8701474801,4,2.0,1813,4293,1.0,0,1,4,7,1813,0,2007,0,98074,47.61269901289986,-122.02583431283722,1695,4075,Parkside Meadows
1743772154,3,2.0,1981,4730,3.0,0,3,3,8,1495,486,1992,0,98074,47.61664076877441,-122.04190592825371,1874,4462,Parkside Meadows
4417138651,3,2.25,1951,4492,3.0,0,3,3,9,1492,459,1983,2023,98074,47.60614367118357,-122.03867013867479,1730,4278,Parkside Meadows
3335807873,4,2.25,2003,4838,1.0,0,0,3,8,2003,0,1993,2012,98074,47.617752126067685,-122.03163306984906,1734,4685,Parkside Meadows
3920067090,4,2.5,2153,5064,2.5,0,0,4,9,1342,811,1995,0,98074,47.61545597169004,-122.02926831698774,1972,4958,Parkside Meadows
2889599496,3,2.25,1882,4768,2.5,0,1,5,8,1146,736,1990,0,98074,47.607482259367885,-122.04113233629971,1760,4718,Parkside Meadows
8906600263,4,2.5,2173,5847,2.5,0,3,4,9,1577,596,2007,0,98074,47.61889882921526,-122.03512476737704,2006,5601,Parkside Meadows
3922778244,4,2.5,1910,5247,2.0,0,3,3,8,1216,694,1979,2004,98074,47.60940556533849,-122.0394871293678,1728,4774,Parkside Meadows
