id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,neighborhood
6395124939,2,2.25,2144,3963,2.0,1,3,5,7,1517,627,2003,0,98166,47.43441600516983,-122.35723800469206,1837,3618,Shoreline Terrace
2080270325,4,2.5,1837,3019,2.5,1,4,3,7,1424,413,1995,0,98166,47.43421617533576,-122.35495514632342,1625,2895,Shoreline Terrace
2145327843,2,2.5,1759,3296,1.0,1,4,4,9,1759,0,1972,0,98166,47.43840059136807,-122.35081850401349,1626,3225,Shoreline Terrace
3498144916,4,2.5,1791,3397,1.5,1,3,3,7,1171,620,2001,0,98166,47.435701164576535,-122.36185870073139,1642,3167,Shoreline Terrace
9587862493,3,1.75,2042,3607,1.5,1,3,5,9,1555,487,1987,0,98166,47.443911493802474,-122.34872162773091,1834,3512,Shoreline Terrace
5552721677,3,1.75,2235,3825,1.0,1,3,3,8,2235,0,1974,0,98166,47.45157988577807,-122.36125935509494,1989,3603,Shoreline Terrace
6067859074,4,2.25,1938,3821,2.0,1,4,4,8,1387,551,1997,0,98166,47.45022935340795,-122.36295773277918,1775,3784,Shoreline Terrace
7473871957,4,2.0,2259,4304,3.0,1,4,4,9,1355,904,1990,0,98166,47.43965340526688,-122.35194007191643,2115,3884,Shoreline Terrace
2755215680,2,1.5,1863,3364,2.0,1,4,5,8,1403,460,1986,0,98166,47.433773402393165,-122.36473151437897,1681,3285,Shoreline Terrace
3689448338,3,2.5,1763,2872,1.5,1,4,3,8,1284,479,1996,2009,98166,47.45143705457593,-122.35483880729994,1670,2822,Shoreline Terrace
8610947725,2,1.5,2113,4166,1.5,1,4,3,8,1485,628,1986,0,98166,47.43530813072824,-122.35263473147918,1991,4038,Shoreline Terrace
9691406431,2,1.5,2058,3859,1.5,1,3,4,8,1601,457,1994,2004,98166,47.4362712750636,-122.36285569712858,1865,3591,Shoreline Terrace
6399905971,4,2.25,1912,3608,2.5,1,3,3,7,1526,386,2006,0,98166,47.43822061373129,-122.35395760083591,1766,3281,Shoreline Terrace
